臺灣 Taiwan,#genre#
CCTV-6,http://193.24.209.91/Smart.php?id=cctv6
CCTV-7,http://193.24.209.91/Smart.php?id=cctv7
CCTV-8,http://193.24.209.91/Smart.php?id=cctv8hd
CCTV-9,http://193.24.209.91/Smart.php?id=cctv9hd
CCTV-10,http://193.24.209.91/Smart.php?id=cctv10hd
CCTV-11,http://193.24.209.91/Smart.php?id=cctv11
CCTV-12,http://193.24.209.91/Smart.php?id=cctv12
CCTV-13,http://193.24.209.91/Smart.php?id=cctv13
CCTV-14,http://193.24.209.91/Smart.php?id=cctv14
CCTV-15,http://193.24.209.91/Smart.php?id=cctv15
CCTV-16,http://193.24.209.91/Smart.php?id=cctv16
CCTV-17,http://193.24.209.91/Smart.php?id=cctv17
湖南衛視(備用),http://193.24.209.91/Smart.php?id=hunan_twn
浙江衛視(備用),http://193.24.209.91/Smart.php?id=zhejiang_twn
江蘇衛視(備用),http://193.24.209.91/Smart.php?id=jiangsu_twn
深圳衛視,http://193.24.209.91/Smart.php?id=shenzhen
福建東南衛視,http://193.24.209.91/Smart.php?id=fujian
廣東南方衛視,http://193.24.209.91/Smart.php?id=nanfang_twn
廣東衛視,http://193.24.209.91/Smart.php?id=guangdongweishi_twn
北京衛視,http://193.24.209.91/Smart.php?id=beijing
珠江台,http://193.24.209.91/Smart.php?id=zhujiang
廣西衛視,http://193.24.209.91/Smart.php?id=guangxi
湖北衛視,http://193.24.209.91/Smart.php?id=hubei
四川衛視,http://193.24.209.91/Smart.php?id=sichuan_twn
鳳凰衛視,http://193.24.209.91/Smart.php?id=phoenixtv_hd
東方衛視,http://193.24.209.91/Smart.php?id=dongfangweishi_twn
CGTN,http://193.24.209.91/Smart.php?id=CGTN
鳳凰資訊,http://193.24.209.91/Smart.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,http://193.24.209.91/Smart.php?id=Assp1
Supersports 1(備用),http://193.24.209.91/Smart.php?id=go_assp1
Supersportq 1(備用2),http://193.24.209.91/Smart.php?id=Assp1_mega
Supersports 2,http://193.24.209.91/Smart.php?id=Assp2
Supersports 2(備用),http://193.24.209.91/Smart.php?id=go_assp2
Supersports 3,http://193.24.209.91/Smart.php?id=Assp3
Supersports 3(備用),http://193.24.209.91/Smart.php?id=go_assp3
Supersports 3(備用2),http://193.24.209.91/Smart.php?id=Assp3_mega
Supersports 4,http://193.24.209.91/Smart.php?id=Assp4_mega
Supersports 4(備用),http://193.24.209.91/Smart.php?id=go_assp4
Supersports 5,http://193.24.209.91/Smart.php?id=go_assp5
Bein 2HD,http://193.24.209.91/Smart.php?id=Beinhd
Beinsports HD,http://193.24.209.91/Smart.php?id=Besports
Champion 5 EPL,http://193.24.209.91/Smart.php?id=Champion5epl
WWE,http://193.24.209.91/Smart.php?id=Wwe
Champion 6 EPL,http://193.24.209.91/Smart.php?id=Champion6epl
Fight Sports,http://193.24.209.91/Smart.php?id=Fs
UFC Network,http://193.24.209.91/Smart.php?id=ufc_mega
NBA TV,http://193.24.209.91/Smart.php?id=nbatv_twn
Astro Cricket,http://193.24.209.91/Smart.php?id=Acricket_mega
Astro Golf,http://193.24.209.91/Smart.php?id=Agolf
TNT Sports 1,http://193.24.209.91/Smart.php?id=beeone
TNT Sports 2,http://193.24.209.91/Smart.php?id=beetwo
TNT Sports 3,http://193.24.209.91/Smart.php?id=beethree
TNT Sports 4,http://193.24.209.91/Smart.php?id=beefour
Sony Ten 1,http://193.24.209.91/Smart.php?id=ten1_raj
Sony Ten 2,http://193.24.209.91/Smart.php?id=ten2_raj
Sony Ten 3,http://193.24.209.91/Smart.php?id=ten3_raj
SPOTV 1 HD,http://193.24.209.91/Smart.php?id=go_spotv
SPO TV 2,http://193.24.209.91/Smart.php?id=go_spotv2
Beinsports 2 HD,http://193.24.209.91/Smart.php?id=Bein2hd
Skysports Arena,http://193.24.209.91/Smart.php?id=tiankongarena
Skysports F1,http://193.24.209.91/Smart.php?id=tiankongf1
Skysports Cricket,http://193.24.209.91/Smart.php?id=tiankongcricket
Skysports EPL,http://193.24.209.91/Smart.php?id=tiankongepl
Skysports Football,http://193.24.209.91/Smart.php?id=tiankongfootball
Skysports Golf,http://193.24.209.91/Smart.php?id=tiankonggolf
Skysports Main Event,http://193.24.209.91/Smart.php?id=tiankongmain
Skysports News,http://193.24.209.91/Smart.php?id=tiankongnews
Skysports NFL,http://193.24.209.91/Smart.php?id=tiankongnfl
Skysports Racing,http://193.24.209.91/Smart.php?id=tiankongracing
Skysports Mix,http://193.24.209.91/Smart.php?id=tiankongmix
CCTV-5,http://193.24.209.91/Smart.php?id=cctv5
CCTV-5+,http://193.24.209.91/Smart.php?id=cctv5plus
愛爾達體育2台,http://193.24.209.91/Smart.php?id=eltasport2_twn
愛爾達體育3台,http://193.24.209.91/Smart.php?id=eltasport3_twn
RTM Sports HD,http://193.24.209.91/Smart.php?id=Rtmsport
Arena,http://193.24.209.91/Smart.php?id=Arena
Arena 2,http://193.24.209.91/Smart.php?id=Arena2
BolaArena 1,http://193.24.209.91/Smart.php?id=Bolaarena1
Bein 1 Sports,http://193.24.209.91/Smart.php?id=bein1_mega
Bein 2 Sports,http://193.24.209.91/Smart.php?id=bein2_mega
Bein 3 Sports,http://193.24.209.91/Smart.php?id=bein3_mega
Bein 4 Sports,http://193.24.209.91/Smart.php?id=bein4_mega
Bein 5 Sports,http://193.24.209.91/Smart.php?id=bein5_mega
Bein 6 Sports,http://193.24.209.91/Smart.php?id=bein6_mega
Bein 7 Sports,http://193.24.209.91/Smart.php?id=bein7_mega
Rugby Pass TV,http://193.24.209.91/Smart.php?id=Rugbypasstv
BolaArena 2,http://193.24.209.91/Smart.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,http://193.24.209.91/Smart.php?id=Suntv
Star Vijay,http://193.24.209.91/Smart.php?id=Starvijay
Colors Tamil,http://193.24.209.91/Smart.php?id=Colorstam_mega
Sun Music,http://193.24.209.91/Smart.php?id=Sunmusic
Astro Sunlife,http://193.24.209.91/Smart.php?id=Sunlife
Astro Vaanavil,http://193.24.209.91/Smart.php?id=Vaanavil
Zee Tamil,http://193.24.209.91/Smart.php?id=Zeetamil
Zee Business,http://193.24.209.91/Smart.php?id=Zeebusiness
News 18 Tamil,http://193.24.209.91/Smart.php?id=news18tamil_raj
Adithya,http://193.24.209.91/Smart.php?id=Adithya
Makkal TV,http://193.24.209.91/Smart.php?id=Makkaltv
Zee Action,http://193.24.209.91/Smart.php?id=Zeeaction
Astro KTV,http://193.24.209.91/Smart.php?id=Astroktv
Zee TV HD,http://193.24.209.91/Smart.php?id=Zeetvhd
Zee Cinema HD,http://193.24.209.91/Smart.php?id=Zeecinemahd
Color HD,http://193.24.209.91/Smart.php?id=Colorhd
Starplus HD,http://193.24.209.91/Smart.php?id=Starplushd
Picture HD,http://193.24.209.91/Smart.php?id=Npicture
Zee News,http://193.24.209.91/Smart.php?id=Zeenews
Asianet,http://193.24.209.91/Smart.php?id=asianet_raj
Asianet News,http://193.24.209.91/Smart.php?id=asianetnews_raj
Times Now,http://193.24.209.91/Smart.php?id=timesnow_mega
BBC Earth Tamil,http://193.24.209.91/Smart.php?id=bbcearthtam_raj
Discovery World Tamil,http://193.24.209.91/Smart.php?id=discoveryworldtam_raj
History Tamil,http://193.24.209.91/Smart.php?id=historytam_raj
NatGeo Tamil,http://193.24.209.91/Smart.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://193.24.209.91/Smart.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://193.24.209.91/Smart.php?id=discoverykidtamil_raj
Discovery Tamil,http://193.24.209.91/Smart.php?id=discoverytamil_raj
Sony Yay Tamil,http://193.24.209.91/Smart.php?id=sonyyaytam_raj
